,model_name,dataset_path,dataset_name,task_type,batch_size,metric,model,target_dataset,runtime,score
1,hafidber/rare-puppers,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,hafidber/rare-puppers,pets,15.278440952301025,26.074207481156265
0,hafidber/fruits,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,hafidber/fruits,pets,38.67689919471741,0.7880294507128996
1,hafidber/fruits,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,hafidber/fruits,pets,38.642409324645996,25.582306229877197
0,ibombonato/swin-age-classifier,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,ibombonato/swin-age-classifier,pets,18.303837776184082,0.7301258078838309
1,ibombonato/swin-age-classifier,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,ibombonato/swin-age-classifier,pets,18.418768644332886,24.67255534212881
0,hgarg/indian-snacks,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,hgarg/indian-snacks,pets,14.51205062866211,0.8016591752272906
1,hgarg/indian-snacks,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,hgarg/indian-snacks,pets,14.692623138427734,25.83280466081251
0,hgarg/fruits,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,hgarg/fruits,pets,15.490327596664429,0.7590925684276248
1,hgarg/fruits,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,hgarg/fruits,pets,15.744911670684814,25.07697675531067
0,google/vit-large-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,google/vit-large-patch16-224,pets,28.03957438468933,0.7444530358739232
1,google/vit-large-patch16-224,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,google/vit-large-patch16-224,pets,28.702094554901123,26.63725223683389
0,ibombonato/vit-age-classifier,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,ibombonato/vit-age-classifier,pets,15.00324821472168,0.8662580806452108
